title,authors,abstract,url,keywords,category,citations,publication
SMPR: A structure-enhanced multimodal drug-disease prediction model for drug repositioning and cold start,"Xin Dong, Rui Miao, Suyan Zhang, Shuaibing Jia, Leifeng Zhang, Yong Liang, Jianhua Zhang, Yi Zhun Zhu","Repositioning drug-disease relationships has always been a hot field of research. However, actual cases of biologically validated drug relocation remain very limited, and existing models have not yet fully utilized the structural information of the drug. Furthermore, most repositioning models are only used to complete the relationship matrix, and their practicality is poor when dealing with drug cold start problems. This paper proposes a structure-enhanced multimodal relationship prediction model (SMRP). SMPR is based on the SMILE structure of the drug, using the Mol2VEC method to generate drug embedded representations, and learn disease embedded representations through heterogeneous network graph neural networks. Ultimately, a drug-disease relationship matrix is constructed. In addition, to reduce the difficulty of users' use, SMPR also provides a cold start interface based on structural similarity based on reposition results to simply and quickly predict drug-related diseases. The repositioning ability and cold start capability of the model are verified from multiple perspectives. While the AUC and ACUPR scores of repositioning reach 99% and 61% respectively, the AUC of cold start achieve 80%. In particular, the cold start Recall indicator can reach more than 70%, which means that SMPR is more sensitive to positive samples. Finally, case analysis is used to verify the practical value of the model and visual analysis directly demonstrates the improvement of the structure to the model. For quick use, we also provide local deployment of the model and package it into an executable program.",http://arxiv.org/abs/2503.13322v1,"research, field, relationships, drug, disease",Quantum Machine Learning,2834,2024
Study of Magnetic Field Resilient High Impedance High-Kinetic Inductance Superconducting Resonators,"Camille Roy, Simone Frasca, Pasquale Scarlino","Superconducting resonators with high-kinetic inductance play a central role in hybrid quantum circuits, enabling strong coupling with quantum systems with small electric dipole moment and improved parametric amplification. However, optimizing these resonators simultaneously for high internal quality factors ($Q_i$) and resilience to strong magnetic fields remains challenging. In this study, we systematically compare superconducting resonators fabricated from niobium nitride (NbN) and granular aluminum (grAl) thin films, each having similar kinetic inductance values ($L_k \sim 100$ pH/sq). At zero magnetic field, resonators made from grAl exhibit higher $Q_i$ compared to their NbN counterparts. However, under applied magnetic fields, NbN resonators demonstrate significantly better resilience. Moreover, NbN resonators exhibit an unexpected increase in $Q_i$ at intermediate in-plane magnetic fields ($B_{\parallel} \sim 1$ T), which we attribute to an enhanced frequency detuning that reduce coupling to two-level system defects. In contrast, grAl resonators show a distinct critical field above which $Q_i$ rapidly decreases, strongly depending on resonator cross-section respect to the applied field direction. Characterization of the nonlinear properties at zero magnetic field reveals that the self-Kerr coefficient in grAl resonators is more than an order of magnitude higher than in NbN resonators, making grAl particularly attractive for applications requiring pronounced nonlinear interactions. Our findings illustrate a clear trade-off between the two materials: NbN offers superior magnetic-field resilience beneficial for hybrid circuit quantum electrodynamics applications, while grAl is more advantageous in low-field regimes demanding high impedance and strong nonlinearity.",http://arxiv.org/abs/2503.13321v1,"kinetic, resonators, quantum, inductance, role",Quantum Computing & Information,2622,2020
Do you understand epistemic uncertainty? Think again! Rigorous frequentist epistemic uncertainty estimation in regression,"Enrico Foglia, Benjamin Bobbia, Nikita Durasov, Michael Bauerheim, Pascal Fua, Stephane Moreau, Thierry Jardin","Quantifying model uncertainty is critical for understanding prediction reliability, yet distinguishing between aleatoric and epistemic uncertainty remains challenging. We extend recent work from classification to regression to provide a novel frequentist approach to epistemic and aleatoric uncertainty estimation. We train models to generate conditional predictions by feeding their initial output back as an additional input. This method allows for a rigorous measurement of model uncertainty by observing how prediction responses change when conditioned on the model's previous answer. We provide a complete theoretical framework to analyze epistemic uncertainty in regression in a frequentist way, and explain how it can be exploited in practice to gauge a model's uncertainty, with minimal changes to the original architecture.",http://arxiv.org/abs/2503.13317v1,"uncertainty, prediction, reliability, model, quantifying",Quantum Machine Learning,1373,2005
RainScaleGAN: a Conditional Generative Adversarial Network for Rainfall Downscaling,"Marcello Iotti, Paolo Davini, Jost von Hardenberg, Giuseppe Zappa","To this day, accurately simulating local-scale precipitation and reliably reproducing its distribution remains a challenging task. The limited horizontal resolution of Global Climate Models is among the primary factors undermining their skill in this context. The physical mechanisms driving the onset and development of precipitation, especially in extreme events, operate at spatio-temporal scales smaller than those numerically resolved, thus struggling to be captured accurately. In order to circumvent this limitation, several downscaling approaches have been developed over the last decades to address the discrepancy between the spatial resolution of models output and the resolution required by local-scale applications. In this paper, we introduce RainScaleGAN, a conditional deep convolutional Generative Adversarial Network (GAN) for precipitation downscaling. GANs have been effectively used in image super-resolution, an approach highly relevant for downscaling tasks. RainScaleGAN's capabilities are tested in a perfect-model setup, where the spatial resolution of a precipitation dataset is artificially degraded from 0.25$^{\circ}\times$0.25$^{\circ}$ to 2$^{\circ}\times$2$^\circ$, and RainScaleGAN is used to restore it. The developed model outperforms one of the leading precipitation downscaling method found in the literature. RainScaleGAN not only generates a synthetic dataset featuring plausible high-resolution spatial patterns and intensities, but also produces a precipitation distribution with statistics closely mirroring those of the ground-truth dataset. Given that RainScaleGAN's approach is agnostic with respect to the underlying physics, the method has the potential to be applied to other physical variables such as surface winds or temperature.",http://arxiv.org/abs/2503.13316v1,"scale, distribution, precipitation, task, day","Machine Learning & AI in Quantum, Quantum Machine Learning",1488,2011
"Generative AI for Software Architecture. Applications, Trends, Challenges, and Future Directions","Matteo Esposito, Xiaozhou Li, Sergio Moreschini, Noman Ahmad, Tomas Cerny, Karthik Vaidhyanathan, Valentina Lenarduzzi, Davide Taibi","Context: Generative Artificial Intelligence (GenAI) is transforming much of software development, yet its application in software architecture is still in its infancy, and no prior study has systematically addressed the topic. Aim: We aim to systematically synthesize the use, rationale, contexts, usability, and future challenges of GenAI in software architecture. Method: We performed a multivocal literature review (MLR), analyzing peer-reviewed and gray literature, identifying current practices, models, adoption contexts, and reported challenges, extracting themes via open coding. Results: Our review identified significant adoption of GenAI for architectural decision support and architectural reconstruction. OpenAI GPT models are predominantly applied, and there is consistent use of techniques such as few-shot prompting and retrieved-augmented generation (RAG). GenAI has been applied mostly to initial stages of the Software Development Life Cycle (SDLC), such as Requirements-to-Architecture and Architecture-to-Code. Monolithic and microservice architectures were the dominant targets. However, rigorous testing of GenAI outputs was typically missing from the studies. Among the most frequent challenges are model precision, hallucinations, ethical aspects, privacy issues, lack of architecture-specific datasets, and the absence of sound evaluation frameworks. Conclusions: GenAI shows significant potential in software design, but several challenges remain on its path to greater adoption. Research efforts should target designing general evaluation methodologies, handling ethics and precision, increasing transparency and explainability, and promoting architecture-specific datasets and benchmarks to bridge the gap between theoretical possibilities and practical use.",http://arxiv.org/abs/2503.13310v1,"context, genai, intelligence, artificial, generative",Machine Learning & AI in Quantum,2566,2011
Integrating AI for Human-Centric Breast Cancer Diagnostics: A Multi-Scale and Multi-View Swin Transformer Framework,"Farnoush Bayatmakou, Reza Taleei, Milad Amir Toutounchian, Arash Mohammadi","Despite advancements in Computer-Aided Diagnosis (CAD) systems, breast cancer remains one of the leading causes of cancer-related deaths among women worldwide. Recent breakthroughs in Artificial Intelligence (AI) have shown significant promise in development of advanced Deep Learning (DL) architectures for breast cancer diagnosis through mammography. In this context, the paper focuses on the integration of AI within a Human-Centric workflow to enhance breast cancer diagnostics. Key challenges are, however, largely overlooked such as reliance on detailed tumor annotations and susceptibility to missing views, particularly during test time. To address these issues, we propose a hybrid, multi-scale and multi-view Swin Transformer-based framework (MSMV-Swin) that enhances diagnostic robustness and accuracy. The proposed MSMV-Swin framework is designed to work as a decision-support tool, helping radiologists analyze multi-view mammograms more effectively. More specifically, the MSMV-Swin framework leverages the Segment Anything Model (SAM) to isolate the breast lobe, reducing background noise and enabling comprehensive feature extraction. The multi-scale nature of the proposed MSMV-Swin framework accounts for tumor-specific regions as well as the spatial characteristics of tissues surrounding the tumor, capturing both localized and contextual information. The integration of contextual and localized data ensures that MSMV-Swin's outputs align with the way radiologists interpret mammograms, fostering better human-AI interaction and trust. A hybrid fusion structure is then designed to ensure robustness against missing views, a common occurrence in clinical practice when only a single mammogram view is available.",http://arxiv.org/abs/2503.13309v1,"aided, advancements, cad, computer, diagnosis",Machine Learning & AI in Quantum,785,2019
From Light-Cone to Supersonic Propagation of Correlations by Competing Short- and Long-Range Couplings,"Catalin-Mihai Halati, Ameneh Sheikhan, Giovanna Morigi, Corinna Kollath, Simon B. J?ger","We investigate the dynamical spreading of correlations in many-body quantum systems with competing short- and global-range couplings. We monitor the non-equilibrium dynamics of the correlations following a quench, showing that for strong short-range couplings the propagation of correlations is dominated at short and intermediate distances by a causal, light-cone, dynamics, resembling the purely short-range quantum systems. However, the interplay of short- and global-range couplings leads to a crossover between space-time regions in which the light-cone persists to regions where a supersonic, distance-independent, spreading of the correlations occurs. We identify the important ingredients needed for capturing the supersonic spreading and demonstrate our findings in systems of interacting bosonic atoms, in which the global range coupling is realized by a coupling to a cavity light field, or atomic long-range interactions, respectively. We show that our results hold in both one and two dimensions and in the presence of dissipation. Furthermore, we characterize the short time power-law scaling of the distance-independent growth of the density-density correlations.",http://arxiv.org/abs/2503.13306v1,"systems, correlations, spreading, quantum, body",Quantum Computing & Information,4024,2010
Computation Mechanism Behind LLM Position Generalization,"Chi Han, Heng Ji","Most written natural languages are composed of sequences of words and sentences. Similar to humans, large language models (LLMs) exhibit flexibility in handling textual positions - a phenomenon we term position generalization. They can understand texts with position perturbations and generalize to longer texts than those encountered during training with the latest techniques. These phenomena suggest that LLMs handle positions tolerantly, but how LLMs computationally process positional relevance remains largely unexplored. This work connects the linguistic phenomenon with LLMs' computational mechanisms. We show how LLMs enforce certain computational mechanisms for the aforementioned tolerance in position perturbations. Despite the complex design of the self-attention mechanism, this work reveals that LLMs learn a counterintuitive disentanglement of attention logits. Their values show a 0.959 linear correlation with an approximation of the arithmetic sum of positional relevance and semantic importance. Furthermore, we identify a prevalent pattern in intermediate features, which we prove theoretically enables this effect. The pattern, which is different from how randomly initialized parameters would behave, suggests that it is a learned behavior rather than a natural result of the model architecture. Based on these findings, we provide computational explanations and criteria for LLMs' position flexibilities. This work takes a pioneering step in linking position generalization with modern LLMs' internal mechanisms.",http://arxiv.org/abs/2503.13305v1,"sentences, languages, words, humans, sequences",Machine Learning & AI in Quantum,44,2025
GFSNetwork: Differentiable Feature Selection via Gumbel-Sigmoid Relaxation,"Witold Wydmanski, Marek Smieja","Feature selection in deep learning remains a critical challenge, particularly for high-dimensional tabular data where interpretability and computational efficiency are paramount. We present GFSNetwork, a novel neural architecture that performs differentiable feature selection through temperature-controlled Gumbel-Sigmoid sampling. Unlike traditional methods, where the user has to define the requested number of features, GFSNetwork selects it automatically during an end-to-end process. Moreover, GFSNetwork maintains constant computational overhead regardless of the number of input features. We evaluate GFSNetwork on a series of classification and regression benchmarks, where it consistently outperforms recent methods including DeepLasso, attention maps, as well as traditional feature selectors, while using significantly fewer features. Furthermore, we validate our approach on real-world metagenomic datasets, demonstrating its effectiveness in high-dimensional biological data. Concluding, our method provides a scalable solution that bridges the gap between neural network flexibility and traditional feature selection interpretability. We share our python implementation of GFSNetwork at https://github.com/wwydmanski/GFSNetwork, as well as a PyPi package (gfs_network).",http://arxiv.org/abs/2503.13304v1,"data, challenge, learning, feature, selection",Quantum Machine Learning,3162,2022
LIMCA: LLM for Automating Analog In-Memory Computing Architecture Design Exploration,"Deepak Vungarala, Md Hasibul Amin, Pietro Mercati, Arnob Ghosh, Arman Roohi, Ramtin Zand, Shaahin Angizi","Resistive crossbars enabling analog In-Memory Computing (IMC) have emerged as a promising architecture for Deep Neural Network (DNN) acceleration, offering high memory bandwidth and in-situ computation. However, the manual, knowledge-intensive design process and the lack of high-quality circuit netlists have significantly constrained design space exploration and optimization to behavioral system-level tools. In this work, we introduce LIMCA, a novel fine-tune-free Large Language Model (LLM)-driven framework for automating the design and evaluation of IMC crossbar architectures. Unlike traditional approaches, LIMCA employs a No-Human-In-Loop (NHIL) automated pipeline to generate and validate circuit netlists for SPICE simulations, eliminating manual intervention. LIMCA systematically explores the IMC design space by leveraging a structured dataset and LLM-based performance evaluation. Our experimental results on MNIST classification demonstrate that LIMCA successfully generates crossbar designs achieving $\geq$96% accuracy while maintaining a power consumption $\leq$3W, making this the first work in LLM-assisted IMC design space exploration. Compared to existing frameworks, LIMCA provides an automated, scalable, and hardware-aware solution, reducing design exploration time while ensuring user-constrained performance trade-offs.",http://arxiv.org/abs/2503.13301v1,"crossbars, computing, in, analog, memory",Quantum Hardware & Circuits,1965,2024
A Survey on Transformer Context Extension: Approaches and Evaluation,"Yijun Liu, Jinzheng Yu, Yang Xu, Zhongyang Li, Qingfu Zhu","Large language models (LLMs) based on Transformer have been widely applied in the filed of natural language processing (NLP), demonstrating strong performance, particularly in handling short text tasks. However, when it comes to long context scenarios, the performance of LLMs degrades due to some challenges. To alleviate this phenomenon, there is a number of work proposed recently. In this survey, we first list the challenges of applying pre-trained LLMs to process long contexts. Then systematically review the approaches related to long context and propose our taxonomy categorizing them into four main types: positional encoding, context compression, retrieval augmented, and attention pattern. In addition to the approaches, we focus on the evaluation of long context, organizing relevant data, tasks, and metrics based on existing long context benchmarks. Finally, we summarize unresolved issues in the long context domain and put forward our views on future developments.",http://arxiv.org/abs/2503.13299v1,"models, language, transformer, llms",Machine Learning & AI in Quantum,1595,2006
On Local Posterior Structure in Deep Ensembles,"Mikkel Jordahn, Jonas Vestergaard Jensen, Mikkel N. Schmidt, Michael Riis Andersen","Bayesian Neural Networks (BNNs) often improve model calibration and predictive uncertainty quantification compared to point estimators such as maximum-a-posteriori (MAP). Similarly, deep ensembles (DEs) are also known to improve calibration, and therefore, it is natural to hypothesize that deep ensembles of BNNs (DE-BNNs) should provide even further improvements. In this work, we systematically investigate this across a number of datasets, neural network architectures, and BNN approximation methods and surprisingly find that when the ensembles grow large enough, DEs consistently outperform DE-BNNs on in-distribution data. To shine light on this observation, we conduct several sensitivity and ablation studies. Moreover, we show that even though DE-BNNs outperform DEs on out-of-distribution metrics, this comes at the cost of decreased in-distribution performance. As a final contribution, we open-source the large pool of trained models to facilitate further research on this topic.",http://arxiv.org/abs/2503.13296v1,"neural, bnns, networks, model, bayesian",Quantum Machine Learning,3953,2000
Realization of fermionic Laughlin state on a quantum processor,"Lingnan Shen, Mao Lin, Cedric Yen-Yu Lin, Di Xiao, Ting Cao","Strongly correlated topological phases of matter are central to modern condensed matter physics and quantum information technology but often challenging to probe and control in material systems. The experimental difficulty of accessing these phases has motivated the use of engineered quantum platforms for simulation and manipulation of exotic topological states. Among these, the Laughlin state stands as a cornerstone for topological matter, embodying fractionalization, anyonic excitations, and incompressibility. Although its bosonic analogs have been realized on programmable quantum simulators, a genuine fermionic Laughlin state has yet to be demonstrated on a quantum processor. Here, we realize the {\nu} = 1/3 fermionic Laughlin state on IonQ's Aria-1 trapped-ion quantum computer using an efficient and scalable Hamiltonian variational ansatz with 369 two-qubit gates on a 16-qubit circuit. Employing symmetry-verification error mitigation, we extract key observables that characterize the Laughlin state, including correlation hole and chiral edge modes, with strong agreement to exact diagonalization benchmarks. This work establishes a scalable quantum framework to simulate material-intrinsic topological orders and provides a starting point to explore its dynamics and excitations on digital quantum processors.",http://arxiv.org/abs/2503.13294v1,"phases, quantum, matter, physics",Quantum Computing & Information,3083,2000
$f$-Decoding: Adaptive Foresight Sampling for Balanced Inference-Time Exploration and Exploitation,"Fangzhi Xu, Hang Yan, Chang Ma, Haiteng Zhao, Jun Liu, Qika Lin, Zhiyong Wu","Inference-time optimization scales computation to derive deliberate reasoning steps for effective performance. While previous search-based strategies address the short-sightedness of auto-regressive generation, the vast search space leads to excessive exploration and insufficient exploitation. To strike an efficient balance to derive the optimal step, we frame the decoding strategy as foresight sampling, leveraging simulated future steps to obtain globally optimal step estimation. Built on it, we propose a novel decoding strategy, named $\phi$-Decoding. To provide a precise and expressive estimation of step value, $\phi$-Decoding approximates two distributions via foresight and clustering. Sampling from the joint distribution, the optimal steps can be selected for exploitation. To support adaptive computation allocation, we propose in-width and in-depth pruning strategies, featuring a light-weight solution to achieve inference efficiency. Extensive experiments across seven benchmarks show $\phi$-Decoding outperforms strong baselines in both performance and efficiency. Additional analysis demonstrates its generalization across various LLMs and scalability across a wide range of computing budgets. The code will be released at https://github.com/xufangzhi/phi-Decoding, and the open-source PyPI package is coming soon.",http://arxiv.org/abs/2503.13288v1,"optimization, computation, reasoning, inference, time","Quantum Machine Learning, Machine Learning & AI in Quantum",1031,2024
Low-loss Nb on Si superconducting resonators from a dual-use spintronics deposition chamber and with acid-free post-processing,"Maciej W. Olszewski, Jadrien T. Paustian, Tathagata Banerjee, Haoran Lu, Jorge L. Ramirez, Nhi Nguyen, Kiichi Okubo, Rohit Pant, Aleksandra B. Biedron, Daniel C. Ralph, Christopher J. K. Richardson, Gregory D. Fuchs, Corey Rae H. McRae, Ivan V. Pechenezhskiy, B. L. T. Plourde, Valla Fatemi","Magnetic impurities are known to degrade superconductivity. For this reason, physical vapor deposition chambers that have previously been used for magnetic materials have generally been avoided for making high-quality superconducting resonator devices. In this article, we show by example that such chambers can be used: with Nb films sputtered in a chamber that continues to be used for magnetic materials, we demonstrate compact (3 {\mu}m gap) coplanar waveguide resonators with low-power internal quality factors near one million. We achieve this using a resist strip bath with no post-fabrication acid treatment, which results in performance comparable to previous strip baths with acid treatments. We also find evidence that this improved resist strip bath provides a better surface chemical template for post-fabrication hydrogen fluoride processing. These results are consistent across three Si substrate preparation methods, including a \SI{700}{\celsius} anneal.",http://arxiv.org/abs/2503.13285v1,"superconductivity, impurities, reason, deposition, vapor",Quantum Computing & Information,3471,2024
Quantum bounds and device-independent security with rank-one qubit measurements,"Lorenzo Coccia, Matteo Padovan, Andrea Pompermaier, Mattia Sabatini, Marco Avesani, Davide Giacomo Marangon, Paolo Villoresi, Giuseppe Vallone","Device-independent (DI) quantum protocols exploit Bell inequality violations to ensure security or certify quantum properties without making assumptions about the internal workings of the devices. In this work, we study the role of rank-one qubit positive operator-valued measures (POVMs) in DI scenarios. This class includes all qubit extremal POVMs, i.e., those measurements that cannot be realized by randomly choosing among others, as well as part of non-extremal POVMs, which have recently been shown to be useful for security applications in sequential quantum protocols. We demonstrate that any rank-one POVM can generate correlations in bipartite scenarios that saturate a Tsirelson inequality, i.e., a quantum bound on linear combinations of outcome statistics, when the two parties share an arbitrary entangled two-qubit state and some other self-tested measurements are performed. For extremal POVMs, such saturation allows for an explicit calculation of the guessing probability and the worst-case conditional von Neumann entropy. From the Tsirelson inequality, we establish a randomness certification method that facilitates numerical simulations and noise analysis. To test its feasibility, we performed a proof-of-concept experiment employing a three-outcome POVM on tilted entangled states under experimental non-idealities. We further explore the case of non-extremal POVMs, providing insights into their role in DI protocols.",http://arxiv.org/abs/2503.13282v1,"bell, device, protocols, quantum, di",Quantum Computing & Information,2623,2019
LLM-Match: An Open-Sourced Patient Matching Model Based on Large Language Models and Retrieval-Augmented Generation,"Xiaodi Li, Shaika Chowdhury, Chung Il Wi, Maria Vassilaki, Ken Liu, Terence T Sio, Owen Garrick, Young J Juhn, James R Cerhan, Cui Tao, Nansu Zong","Patient matching is the process of linking patients to appropriate clinical trials by accurately identifying and matching their medical records with trial eligibility criteria. We propose LLM-Match, a novel framework for patient matching leveraging fine-tuned open-source large language models. Our approach consists of four key components. First, a retrieval-augmented generation (RAG) module extracts relevant patient context from a vast pool of electronic health records (EHRs). Second, a prompt generation module constructs input prompts by integrating trial eligibility criteria (both inclusion and exclusion criteria), patient context, and system instructions. Third, a fine-tuning module with a classification head optimizes the model parameters using structured prompts and ground-truth labels. Fourth, an evaluation module assesses the fine-tuned model's performance on the testing datasets. We evaluated LLM-Match on four open datasets, n2c2, SIGIR, TREC 2021, and TREC 2022, using open-source models, comparing it against TrialGPT, Zero-Shot, and GPT-4-based closed models. LLM-Match outperformed all baselines.",http://arxiv.org/abs/2503.13281v1,"trials, matching, process, patient, patients","Machine Learning & AI in Quantum, Quantum Machine Learning",3853,2012
Artificial Intelligence-Driven Prognostic Classification of COVID-19 Using Chest X-rays: A Deep Learning Approach,"Alfred Simbun, Suresh Kumar","Background: The COVID-19 pandemic has overwhelmed healthcare systems, emphasizing the need for AI-driven tools to assist in rapid and accurate patient prognosis. Chest X-ray imaging is a widely available diagnostic tool, but existing methods for prognosis classification lack scalability and efficiency. Objective: This study presents a high-accuracy deep learning model for classifying COVID-19 severity (Mild, Moderate, and Severe) using Chest X-ray images, developed on Microsoft Azure Custom Vision. Methods: Using a dataset of 1,103 confirmed COVID-19 X-ray images from AIforCOVID, we trained and validated a deep learning model leveraging Convolutional Neural Networks (CNNs). The model was evaluated on an unseen dataset to measure accuracy, precision, and recall. Results: Our model achieved an average accuracy of 97%, with specificity of 99%, sensitivity of 87%, and an F1-score of 93.11%. When classifying COVID-19 severity, the model achieved accuracies of 89.03% (Mild), 95.77% (Moderate), and 81.16% (Severe). These results demonstrate the model's potential for real-world clinical applications, aiding in faster decision-making and improved resource allocation. Conclusion: AI-driven prognosis classification using deep learning can significantly enhance COVID-19 patient management, enabling early intervention and efficient triaging. Our study provides a scalable, high-accuracy AI framework for integrating deep learning into routine clinical workflows. Future work should focus on expanding datasets, external validation, and regulatory compliance to facilitate clinical adoption.",http://arxiv.org/abs/2503.13277v1,"systems, covid-19, need, healthcare, background",Machine Learning & AI in Quantum,1510,2008
Graph Generative Models Evaluation with Masked Autoencoder,"Chengen Wang, Murat Kantarcioglu","In recent years, numerous graph generative models (GGMs) have been proposed. However, evaluating these models remains a considerable challenge, primarily due to the difficulty in extracting meaningful graph features that accurately represent real-world graphs. The traditional evaluation techniques, which rely on graph statistical properties like node degree distribution, clustering coefficients, or Laplacian spectrum, overlook node features and lack scalability. There are newly proposed deep learning-based methods employing graph random neural networks or contrastive learning to extract graph features, demonstrating superior performance compared to traditional statistical methods, but their experimental results also demonstrate that these methods do not always working well across different metrics. Although there are overlaps among these metrics, they are generally not interchangeable, each evaluating generative models from a different perspective. In this paper, we propose a novel method that leverages graph masked autoencoders to effectively extract graph features for GGM evaluations. We conduct extensive experiments on graphs and empirically demonstrate that our method can be more reliable and effective than previously proposed methods across a number of GGM evaluation metrics, such as ""Fr\'echet Distance (FD)"" and ""MMD Linear"". However, no single method stands out consistently across all metrics and datasets. Therefore, this study also aims to raise awareness of the significance and challenges associated with GGM evaluation techniques, especially in light of recent advances in generative models.",http://arxiv.org/abs/2503.13271v1,"models, years, graph, ggms",Quantum Machine Learning,4808,2002
Zero-Knowledge Proof-Based Consensus for Blockchain-Secured Federated Learning,"Tianxing Fu, Jia Hu, Geyong Min, Zi Wang","Federated learning (FL) enables multiple participants to collaboratively train machine learning models while ensuring their data remains private and secure. Blockchain technology further enhances FL by providing stronger security, a transparent audit trail, and protection against data tampering and model manipulation. Most blockchain-secured FL systems rely on conventional consensus mechanisms: Proof-of-Work (PoW) is computationally expensive, while Proof-of-Stake (PoS) improves energy efficiency but risks centralization as it inherently favors participants with larger stakes. Recently, learning-based consensus has emerged as an alternative by replacing cryptographic tasks with model training to save energy. However, this approach introduces potential privacy vulnerabilities, as the training process may inadvertently expose sensitive information through gradient sharing and model updates. To address these challenges, we propose a novel Zero-Knowledge Proof of Training (ZKPoT) consensus mechanism. This method leverages the zero-knowledge succinct non-interactive argument of knowledge proof (zk-SNARK) protocol to validate participants' contributions based on their model performance, effectively eliminating the inefficiencies of traditional consensus methods and mitigating the privacy risks posed by learning-based consensus. We analyze our system's security, demonstrating its capacity to prevent the disclosure of sensitive information about local models or training data to untrusted parties during the entire FL process. Extensive experiments demonstrate that our system is robust against privacy and Byzantine attacks while maintaining accuracy and utility without trade-offs, scalable across various blockchain settings, and efficient in both computation and communication.",http://arxiv.org/abs/2503.13255v1,"learning, participants, machine, federated, fl",Quantum Cryptography & Security,171,2006
Neural network-based Godunov corrections for approximate Riemann solvers using bi-fidelity learning,"Akshay Thakur, Matthew J. Zahr","The Riemann problem is fundamental in the computational modeling of hyperbolic partial differential equations, enabling the development of stable and accurate upwind schemes. While exact solvers provide robust upwinding fluxes, their high computational cost necessitates approximate solvers. Although approximate solvers achieve accuracy in many scenarios, they produce inaccurate solutions in certain cases. To overcome this limitation, we propose constructing neural network-based surrogate models, trained using supervised learning, designed to map interior and exterior conservative state variables to the corresponding exact flux. Specifically, we propose two distinct approaches: one utilizing a vanilla neural network and the other employing a bi-fidelity neural network. The performance of the proposed approaches is demonstrated through applications to one-dimensional and two-dimensional partial differential equations, showcasing their robustness and accuracy.",http://arxiv.org/abs/2503.13248v1,"problem, equations, modeling, riemann, development",Quantum Machine Learning,4307,2005
Highly Efficient Direct Analytics on Semantic-aware Time Series Data Compression,"Guoyou Sun, Panagiotis Karras, Qi Zhang","Semantic communication has emerged as a promising paradigm to tackle the challenges of massive growing data traffic and sustainable data communication. It shifts the focus from data fidelity to goal-oriented or task-oriented semantic transmission. While deep learning-based methods are commonly used for semantic encoding and decoding, they struggle with the sequential nature of time series data and high computation cost, particularly in resource-constrained IoT environments. Data compression plays a crucial role in reducing transmission and storage costs, yet traditional data compression methods fall short of the demands of goal-oriented communication systems. In this paper, we propose a novel method for direct analytics on time series data compressed by the SHRINK compression algorithm. Through experimentation using outlier detection as a case study, we show that our method outperforms baselines running on uncompressed data in multiple cases, with merely 1% difference in the worst case. Additionally, it achieves four times lower runtime on average and accesses approximately 10% of the data volume, which enables edge analytics with limited storage and computation power. These results demonstrate that our approach offers reliable, high-speed outlier detection analytics for diverse IoT applications while extracting semantics from time-series data, achieving high compression, and reducing data transmission.",http://arxiv.org/abs/2503.13246v1,"data, paradigm, challenges, traffic, communication",Quantum Machine Learning,1991,2007
Gradient Extrapolation for Debiased Representation Learning,"Ihab Asaad, Maha Shadaydeh, Joachim Denzler","Machine learning classification models trained with empirical risk minimization (ERM) often inadvertently rely on spurious correlations. When absent in the test data, these unintended associations between non-target attributes and target labels lead to poor generalization. This paper addresses this problem from a model optimization perspective and proposes a novel method, Gradient Extrapolation for Debiased Representation Learning (GERNE), designed to learn debiased representations in both known and unknown attribute training cases. GERNE uses two distinct batches with different amounts of spurious correlations to define the target gradient as the linear extrapolation of two gradients computed from each batch's loss. It is demonstrated that the extrapolated gradient, if directed toward the gradient of the batch with fewer amount of spurious correlation, can guide the training process toward learning a debiased model. GERNE can serve as a general framework for debiasing with methods, such as ERM, reweighting, and resampling, being shown as special cases. The theoretical upper and lower bounds of the extrapolation factor are derived to ensure convergence. By adjusting this factor, GERNE can be adapted to maximize the Group-Balanced Accuracy (GBA) or the Worst-Group Accuracy. The proposed approach is validated on five vision and one NLP benchmarks, demonstrating competitive and often superior performance compared to state-of-the-art baseline methods.",http://arxiv.org/abs/2503.13236v1,"classification, models, risk, machine, minimization",Quantum Machine Learning,1005,2008
Mind the Gap: Confidence Discrepancy Can Guide Federated Semi-Supervised Learning Across Pseudo-Mismatch,"Yijie Liu, Xinyi Shang, Yiqun Zhang, Yang Lu, Chen Gong, Jing-Hao Xue, Hanzi Wang","Federated Semi-Supervised Learning (FSSL) aims to leverage unlabeled data across clients with limited labeled data to train a global model with strong generalization ability. Most FSSL methods rely on consistency regularization with pseudo-labels, converting predictions from local or global models into hard pseudo-labels as supervisory signals. However, we discover that the quality of pseudo-label is largely deteriorated by data heterogeneity, an intrinsic facet of federated learning. In this paper, we study the problem of FSSL in-depth and show that (1) heterogeneity exacerbates pseudo-label mismatches, further degrading model performance and convergence, and (2) local and global models' predictive tendencies diverge as heterogeneity increases. Motivated by these findings, we propose a simple and effective method called Semi-supervised Aggregation for Globally-Enhanced Ensemble (SAGE), that can flexibly correct pseudo-labels based on confidence discrepancies. This strategy effectively mitigates performance degradation caused by incorrect pseudo-labels and enhances consensus between local and global models. Experimental results demonstrate that SAGE outperforms existing FSSL methods in both performance and convergence. Our code is available at https://github.com/Jay-Codeman/SAGE",http://arxiv.org/abs/2503.13227v1,"data, learning, fssl, federated, semi",Quantum Machine Learning,4921,2004
